Coin,Symbol,Market Cap (B),Price ($),Volatility (%),Sentiment Score
BNB,BNB,178.7,20703.23,43.54,0.64
Solana,SOL,178.7,20703.23,43.54,0.64
Solana,BTC,178.7,20703.23,43.54,0.64
BNB,BTC,178.7,20703.23,43.54,0.64
Bitcoin,SOL,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
Bitcoin,SOL,178.7,20703.23,43.54,0.64
Cardano,ETH,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
Cardano,SOL,178.7,20703.23,43.54,0.64
Solana,ETH,178.7,20703.23,43.54,0.64
Cardano,ADA,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
Solana,ADA,178.7,20703.23,43.54,0.64
Bitcoin,BNB,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
Solana,ETH,178.7,20703.23,43.54,0.64
Solana,BTC,178.7,20703.23,43.54,0.64
BNB,ADA,178.7,20703.23,43.54,0.64
Ethereum,BNB,178.7,20703.23,43.54,0.64
Bitcoin,SOL,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
BNB,BNB,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
BNB,BTC,178.7,20703.23,43.54,0.64
Solana,BNB,178.7,20703.23,43.54,0.64
Solana,ETH,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
Cardano,SOL,178.7,20703.23,43.54,0.64
Ethereum,BNB,178.7,20703.23,43.54,0.64
Solana,BNB,178.7,20703.23,43.54,0.64
Cardano,SOL,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
Ethereum,BTC,178.7,20703.23,43.54,0.64
Solana,BNB,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
Cardano,SOL,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
Solana,SOL,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
Solana,SOL,178.7,20703.23,43.54,0.64
Ethereum,BTC,178.7,20703.23,43.54,0.64
Cardano,BNB,178.7,20703.23,43.54,0.64
Solana,SOL,178.7,20703.23,43.54,0.64
Solana,ETH,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
BNB,BNB,178.7,20703.23,43.54,0.64
BNB,BNB,178.7,20703.23,43.54,0.64
Solana,BNB,178.7,20703.23,43.54,0.64
Solana,BNB,178.7,20703.23,43.54,0.64
Cardano,BNB,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
Ethereum,BNB,178.7,20703.23,43.54,0.64
BNB,SOL,178.7,20703.23,43.54,0.64
Ethereum,ADA,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
BNB,SOL,178.7,20703.23,43.54,0.64
Solana,ADA,178.7,20703.23,43.54,0.64
Ethereum,BNB,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
BNB,SOL,178.7,20703.23,43.54,0.64
Solana,BNB,178.7,20703.23,43.54,0.64
Ethereum,ADA,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
Solana,ETH,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
BNB,ADA,178.7,20703.23,43.54,0.64
Cardano,BNB,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
Solana,BTC,178.7,20703.23,43.54,0.64
Cardano,ADA,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
BNB,BNB,178.7,20703.23,43.54,0.64
Bitcoin,ADA,178.7,20703.23,43.54,0.64
Solana,ADA,178.7,20703.23,43.54,0.64
BNB,ADA,178.7,20703.23,43.54,0.64
Cardano,ETH,178.7,20703.23,43.54,0.64
Bitcoin,ADA,178.7,20703.23,43.54,0.64
Cardano,ETH,178.7,20703.23,43.54,0.64
Solana,ADA,178.7,20703.23,43.54,0.64
Ethereum,ADA,178.7,20703.23,43.54,0.64
Bitcoin,SOL,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
Bitcoin,BNB,178.7,20703.23,43.54,0.64
Ethereum,BTC,178.7,20703.23,43.54,0.64
Bitcoin,BNB,178.7,20703.23,43.54,0.64
Cardano,BNB,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
Ethereum,BNB,178.7,20703.23,43.54,0.64
BNB,SOL,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
Ethereum,ADA,178.7,20703.23,43.54,0.64
Solana,ADA,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
Cardano,BNB,178.7,20703.23,43.54,0.64
BNB,BTC,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
Bitcoin,SOL,178.7,20703.23,43.54,0.64
Cardano,BNB,178.7,20703.23,43.54,0.64
Solana,SOL,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
Bitcoin,ADA,178.7,20703.23,43.54,0.64
Cardano,ETH,178.7,20703.23,43.54,0.64
Ethereum,ADA,178.7,20703.23,43.54,0.64
Bitcoin,ADA,178.7,20703.23,43.54,0.64
Solana,BTC,178.7,20703.23,43.54,0.64
Solana,ETH,178.7,20703.23,43.54,0.64
Cardano,ETH,178.7,20703.23,43.54,0.64
Cardano,ETH,178.7,20703.23,43.54,0.64
Cardano,BNB,178.7,20703.23,43.54,0.64
BNB,BNB,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
Bitcoin,ADA,178.7,20703.23,43.54,0.64
Ethereum,BNB,178.7,20703.23,43.54,0.64
Bitcoin,BNB,178.7,20703.23,43.54,0.64
BNB,ADA,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
Solana,ADA,178.7,20703.23,43.54,0.64
Solana,ADA,178.7,20703.23,43.54,0.64
Bitcoin,BNB,178.7,20703.23,43.54,0.64
Ethereum,BTC,178.7,20703.23,43.54,0.64
Solana,SOL,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
Solana,ADA,178.7,20703.23,43.54,0.64
Bitcoin,SOL,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
Solana,ETH,178.7,20703.23,43.54,0.64
Ethereum,BNB,178.7,20703.23,43.54,0.64
Bitcoin,SOL,178.7,20703.23,43.54,0.64
Bitcoin,SOL,178.7,20703.23,43.54,0.64
Cardano,SOL,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
Solana,BTC,178.7,20703.23,43.54,0.64
Solana,ETH,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
Solana,ETH,178.7,20703.23,43.54,0.64
BNB,BNB,178.7,20703.23,43.54,0.64
BNB,ADA,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
BNB,BTC,178.7,20703.23,43.54,0.64
BNB,BNB,178.7,20703.23,43.54,0.64
Cardano,ADA,178.7,20703.23,43.54,0.64
BNB,SOL,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
Solana,ADA,178.7,20703.23,43.54,0.64
Ethereum,BTC,178.7,20703.23,43.54,0.64
BNB,SOL,178.7,20703.23,43.54,0.64
Ethereum,BNB,178.7,20703.23,43.54,0.64
Solana,ADA,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
Solana,ADA,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
BNB,BTC,178.7,20703.23,43.54,0.64
Bitcoin,ADA,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
Bitcoin,ADA,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
Solana,ETH,178.7,20703.23,43.54,0.64
BNB,BTC,178.7,20703.23,43.54,0.64
BNB,BNB,178.7,20703.23,43.54,0.64
Bitcoin,SOL,178.7,20703.23,43.54,0.64
BNB,ADA,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
Ethereum,BTC,178.7,20703.23,43.54,0.64
Ethereum,BNB,178.7,20703.23,43.54,0.64
BNB,BNB,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
Bitcoin,ADA,178.7,20703.23,43.54,0.64
Solana,ADA,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
BNB,BNB,178.7,20703.23,43.54,0.64
BNB,SOL,178.7,20703.23,43.54,0.64
Bitcoin,SOL,178.7,20703.23,43.54,0.64
Cardano,SOL,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
BNB,ADA,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
Bitcoin,SOL,178.7,20703.23,43.54,0.64
Bitcoin,ADA,178.7,20703.23,43.54,0.64
Ethereum,ADA,178.7,20703.23,43.54,0.64
Solana,BTC,178.7,20703.23,43.54,0.64
BNB,BNB,178.7,20703.23,43.54,0.64
Solana,ETH,178.7,20703.23,43.54,0.64
BNB,BTC,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
Solana,ADA,178.7,20703.23,43.54,0.64
BNB,SOL,178.7,20703.23,43.54,0.64
Bitcoin,BNB,178.7,20703.23,43.54,0.64
Solana,BNB,178.7,20703.23,43.54,0.64
Cardano,ADA,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
Bitcoin,BNB,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
Solana,ETH,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
BNB,BTC,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
Cardano,BNB,178.7,20703.23,43.54,0.64
Ethereum,ADA,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
Ethereum,ADA,178.7,20703.23,43.54,0.64
Ethereum,ADA,178.7,20703.23,43.54,0.64
Bitcoin,BNB,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
Ethereum,ADA,178.7,20703.23,43.54,0.64
Ethereum,ADA,178.7,20703.23,43.54,0.64
Cardano,BNB,178.7,20703.23,43.54,0.64
Solana,ADA,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
Ethereum,ADA,178.7,20703.23,43.54,0.64
Cardano,BNB,178.7,20703.23,43.54,0.64
Solana,BTC,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
Cardano,BNB,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
Bitcoin,SOL,178.7,20703.23,43.54,0.64
BNB,ADA,178.7,20703.23,43.54,0.64
Cardano,ADA,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
BNB,SOL,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
Bitcoin,BNB,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
BNB,BNB,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
Solana,SOL,178.7,20703.23,43.54,0.64
Bitcoin,BNB,178.7,20703.23,43.54,0.64
Solana,ETH,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
BNB,SOL,178.7,20703.23,43.54,0.64
BNB,ADA,178.7,20703.23,43.54,0.64
Ethereum,BTC,178.7,20703.23,43.54,0.64
Bitcoin,SOL,178.7,20703.23,43.54,0.64
Cardano,ADA,178.7,20703.23,43.54,0.64
Solana,SOL,178.7,20703.23,43.54,0.64
Cardano,ADA,178.7,20703.23,43.54,0.64
Bitcoin,SOL,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
Cardano,SOL,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
Cardano,ADA,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
Ethereum,BNB,178.7,20703.23,43.54,0.64
Cardano,BNB,178.7,20703.23,43.54,0.64
Bitcoin,BNB,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
Cardano,ETH,178.7,20703.23,43.54,0.64
Bitcoin,SOL,178.7,20703.23,43.54,0.64
Cardano,ETH,178.7,20703.23,43.54,0.64
Ethereum,BTC,178.7,20703.23,43.54,0.64
Cardano,BNB,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
Cardano,SOL,178.7,20703.23,43.54,0.64
Cardano,ETH,178.7,20703.23,43.54,0.64
BNB,BTC,178.7,20703.23,43.54,0.64
Bitcoin,ADA,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
Solana,ADA,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
Ethereum,BTC,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
Ethereum,BNB,178.7,20703.23,43.54,0.64
Cardano,ETH,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
Cardano,SOL,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
Cardano,SOL,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
BNB,BNB,178.7,20703.23,43.54,0.64
Solana,ADA,178.7,20703.23,43.54,0.64
Solana,ETH,178.7,20703.23,43.54,0.64
Solana,ADA,178.7,20703.23,43.54,0.64
Solana,ETH,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
BNB,SOL,178.7,20703.23,43.54,0.64
Ethereum,BNB,178.7,20703.23,43.54,0.64
Cardano,ETH,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
Cardano,ADA,178.7,20703.23,43.54,0.64
Solana,ETH,178.7,20703.23,43.54,0.64
Bitcoin,ADA,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
BNB,ADA,178.7,20703.23,43.54,0.64
BNB,BTC,178.7,20703.23,43.54,0.64
Cardano,BNB,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
BNB,SOL,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
BNB,BTC,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
BNB,BTC,178.7,20703.23,43.54,0.64
BNB,BNB,178.7,20703.23,43.54,0.64
Cardano,BNB,178.7,20703.23,43.54,0.64
Ethereum,ADA,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
BNB,SOL,178.7,20703.23,43.54,0.64
Solana,ADA,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
Ethereum,ADA,178.7,20703.23,43.54,0.64
Solana,BTC,178.7,20703.23,43.54,0.64
Solana,ADA,178.7,20703.23,43.54,0.64
BNB,BTC,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
Bitcoin,BNB,178.7,20703.23,43.54,0.64
Bitcoin,SOL,178.7,20703.23,43.54,0.64
Solana,BNB,178.7,20703.23,43.54,0.64
BNB,BTC,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
Cardano,BNB,178.7,20703.23,43.54,0.64
Solana,ADA,178.7,20703.23,43.54,0.64
Bitcoin,BNB,178.7,20703.23,43.54,0.64
Cardano,ADA,178.7,20703.23,43.54,0.64
Solana,BTC,178.7,20703.23,43.54,0.64
Cardano,BNB,178.7,20703.23,43.54,0.64
Ethereum,ADA,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
BNB,SOL,178.7,20703.23,43.54,0.64
Ethereum,BNB,178.7,20703.23,43.54,0.64
Solana,SOL,178.7,20703.23,43.54,0.64
Ethereum,ADA,178.7,20703.23,43.54,0.64
Bitcoin,BNB,178.7,20703.23,43.54,0.64
Ethereum,BTC,178.7,20703.23,43.54,0.64
Bitcoin,SOL,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
BNB,ADA,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
Bitcoin,BNB,178.7,20703.23,43.54,0.64
Bitcoin,ADA,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
Bitcoin,BNB,178.7,20703.23,43.54,0.64
Cardano,BNB,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
BNB,BNB,178.7,20703.23,43.54,0.64
BNB,BNB,178.7,20703.23,43.54,0.64
Solana,BTC,178.7,20703.23,43.54,0.64
Bitcoin,ADA,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
Solana,ETH,178.7,20703.23,43.54,0.64
Bitcoin,BNB,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
Ethereum,BTC,178.7,20703.23,43.54,0.64
Solana,BTC,178.7,20703.23,43.54,0.64
BNB,SOL,178.7,20703.23,43.54,0.64
Bitcoin,SOL,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
Cardano,ADA,178.7,20703.23,43.54,0.64
BNB,BNB,178.7,20703.23,43.54,0.64
Solana,BTC,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
Solana,BNB,178.7,20703.23,43.54,0.64
Solana,BTC,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
Cardano,ADA,178.7,20703.23,43.54,0.64
Cardano,BNB,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
BNB,BNB,178.7,20703.23,43.54,0.64
BNB,BNB,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
BNB,BNB,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
Cardano,ETH,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
Bitcoin,BNB,178.7,20703.23,43.54,0.64
Bitcoin,BNB,178.7,20703.23,43.54,0.64
Solana,ETH,178.7,20703.23,43.54,0.64
Cardano,ETH,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
Bitcoin,SOL,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
Bitcoin,ADA,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
BNB,ADA,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
Ethereum,BNB,178.7,20703.23,43.54,0.64
Cardano,SOL,178.7,20703.23,43.54,0.64
BNB,BNB,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
Cardano,ADA,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
Cardano,ADA,178.7,20703.23,43.54,0.64
BNB,ADA,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
Bitcoin,ADA,178.7,20703.23,43.54,0.64
BNB,BNB,178.7,20703.23,43.54,0.64
BNB,ADA,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
Bitcoin,BNB,178.7,20703.23,43.54,0.64
Cardano,ETH,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
Ethereum,BTC,178.7,20703.23,43.54,0.64
Ethereum,BTC,178.7,20703.23,43.54,0.64
Solana,ADA,178.7,20703.23,43.54,0.64
Ethereum,BTC,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
Cardano,ADA,178.7,20703.23,43.54,0.64
Ethereum,ETH,178.7,20703.23,43.54,0.64
Cardano,SOL,178.7,20703.23,43.54,0.64
Bitcoin,ADA,178.7,20703.23,43.54,0.64
Ethereum,BTC,178.7,20703.23,43.54,0.64
Ethereum,BNB,178.7,20703.23,43.54,0.64
Cardano,ADA,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
Solana,BTC,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
Cardano,SOL,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
Cardano,BNB,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
Cardano,SOL,178.7,20703.23,43.54,0.64
Solana,ETH,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
Bitcoin,BNB,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
Bitcoin,SOL,178.7,20703.23,43.54,0.64
Solana,ETH,178.7,20703.23,43.54,0.64
Cardano,BTC,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
Solana,BNB,178.7,20703.23,43.54,0.64
Bitcoin,ADA,178.7,20703.23,43.54,0.64
Solana,ADA,178.7,20703.23,43.54,0.64
Bitcoin,BNB,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
Solana,BTC,178.7,20703.23,43.54,0.64
Ethereum,ADA,178.7,20703.23,43.54,0.64
Bitcoin,BTC,178.7,20703.23,43.54,0.64
Bitcoin,ETH,178.7,20703.23,43.54,0.64
Cardano,ETH,178.7,20703.23,43.54,0.64
Cardano,ETH,178.7,20703.23,43.54,0.64
BNB,BNB,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
Solana,BNB,178.7,20703.23,43.54,0.64
Cardano,ADA,178.7,20703.23,43.54,0.64
Solana,SOL,178.7,20703.23,43.54,0.64
BNB,ETH,178.7,20703.23,43.54,0.64
Cardano,ADA,178.7,20703.23,43.54,0.64
Cardano,ETH,178.7,20703.23,43.54,0.64
BNB,BTC,178.7,20703.23,43.54,0.64
BNB,SOL,178.7,20703.23,43.54,0.64
Bitcoin,ADA,178.7,20703.23,43.54,0.64
BNB,BTC,178.7,20703.23,43.54,0.64
Solana,BNB,178.7,20703.23,43.54,0.64
Cardano,ETH,178.7,20703.23,43.54,0.64
Cardano,BNB,178.7,20703.23,43.54,0.64
Solana,SOL,178.7,20703.23,43.54,0.64
Solana,BNB,178.7,20703.23,43.54,0.64
Cardano,ETH,178.7,20703.23,43.54,0.64
Bitcoin,ADA,178.7,20703.23,43.54,0.64
BNB,SOL,178.7,20703.23,43.54,0.64
Solana,BNB,178.7,20703.23,43.54,0.64
BNB,ADA,178.7,20703.23,43.54,0.64
BNB,BTC,178.7,20703.23,43.54,0.64
Bitcoin,SOL,178.7,20703.23,43.54,0.64
Ethereum,BTC,178.7,20703.23,43.54,0.64
Cardano,SOL,178.7,20703.23,43.54,0.64
Solana,ETH,178.7,20703.23,43.54,0.64
Cardano,ETH,178.7,20703.23,43.54,0.64
Cardano,ADA,178.7,20703.23,43.54,0.64
Ethereum,BNB,178.7,20703.23,43.54,0.64
Ethereum,SOL,178.7,20703.23,43.54,0.64
Solana,BTC,178.7,20703.23,43.54,0.64
